,Day,Hour,tmp,Month,sun,rad
0,1,1,19.1,1,0.0,0.0
1,1,2,18.7,1,0.0,0.0
2,1,3,18.6,1,0.0,0.0
3,1,4,18.7,1,0.0,0.0
4,1,5,18.6,1,0.0,0.0
5,1,6,18.7,1,0.0,0.0
6,1,7,18.8,1,0.0,0.01
7,1,8,18.7,1,0.8,0.07
8,1,9,18.8,1,1.0,0.19
9,1,10,19.2,1,1.0,0.47
10,1,11,19.2,1,1.0,0.57
11,1,12,19.3,1,1.0,0.56
12,1,13,19.2,1,0.8,0.62
13,1,14,18.9,1,0.1,0.22
14,1,15,19.1,1,0.0,0.22
15,1,16,18.8,1,0.0,0.16
16,1,17,18.8,1,0.0,0.03
17,1,18,18.0,1,0.0,0.0
18,1,19,17.9,1,0.0,0.0
19,1,20,18.1,1,0.0,0.0
20,1,21,18.1,1,0.0,0.0
21,1,22,17.4,1,0.0,0.0
22,1,23,17.0,1,0.0,0.0
23,1,24,17.1,1,0.0,0.0
24,2,1,16.9,1,0.0,0.0
25,2,2,17.1,1,0.0,0.0
26,2,3,16.7,1,0.0,0.0
27,2,4,15.9,1,0.0,0.0
28,2,5,15.5,1,0.0,0.0
29,2,6,15.0,1,0.0,0.0
30,2,7,15.2,1,0.0,0.02
31,2,8,16.5,1,0.0,0.42
32,2,9,19.1,1,0.0,1.25
33,2,10,21.0,1,0.0,1.97
34,2,11,21.6,1,0.3,2.46
35,2,12,22.1,1,0.7,2.76
36,2,13,22.8,1,0.0,2.73
37,2,14,22.3,1,0.2,2.18
38,2,15,21.6,1,0.0,0.76
39,2,16,21.7,1,0.0,0.42
40,2,17,21.3,1,0.0,0.12
41,2,18,21.1,1,0.0,0.0
42,2,19,20.7,1,0.0,0.0
43,2,20,20.1,1,0.0,0.0
44,2,21,19.1,1,0.0,0.0
45,2,22,18.9,1,0.0,0.0
46,2,23,17.8,1,0.0,0.0
47,2,24,17.7,1,0.0,0.0
48,3,1,17.2,1,0.0,0.0
49,3,2,17.2,1,0.0,0.0
50,3,3,16.8,1,0.0,0.0
51,3,4,16.5,1,0.0,0.0
52,3,5,16.5,1,0.0,0.0
53,3,6,16.2,1,0.0,0.0
54,3,7,17.1,1,0.0,0.01
55,3,8,17.9,1,0.0,0.21
56,3,9,19.2,1,0.1,0.63
57,3,10,20.6,1,0.1,0.77
58,3,11,22.8,1,0.0,1.56
59,3,12,22.2,1,0.0,1.26
60,3,13,20.5,1,0.1,0.59
61,3,14,19.4,1,0.1,0.29
62,3,15,18.8,1,0.0,0.22
63,3,16,18.5,1,0.0,0.14
64,3,17,18.0,1,0.0,0.03
65,3,18,17.6,1,0.0,0.0
66,3,19,17.4,1,0.0,0.0
67,3,20,17.5,1,0.0,0.0
68,3,21,17.1,1,0.0,0.0
69,3,22,17.1,1,0.0,0.0
70,3,23,16.8,1,0.0,0.0
71,3,24,16.9,1,0.0,0.0
72,4,1,16.6,1,0.0,0.0
73,4,2,16.8,1,0.0,0.0
74,4,3,16.7,1,0.0,0.0
75,4,4,16.7,1,0.0,0.0
76,4,5,15.9,1,0.0,0.0
77,4,6,16.1,1,0.0,0.0
78,4,7,16.1,1,0.0,0.01
79,4,8,16.6,1,0.0,0.17
80,4,9,16.3,1,0.0,0.31
81,4,10,17.1,1,0.0,0.47
82,4,11,18.4,1,0.3,1.16
83,4,12,19.4,1,0.5,1.49
84,4,13,19.8,1,0.2,2.03
85,4,14,19.0,1,0.0,1.56
86,4,15,18.7,1,0.0,0.52
87,4,16,18.3,1,0.0,0.31
88,4,17,18.2,1,0.0,0.1
89,4,18,18.1,1,0.0,0.01
90,4,19,17.8,1,0.0,0.0
91,4,20,17.6,1,0.0,0.0
92,4,21,17.2,1,0.0,0.0
93,4,22,17.1,1,0.0,0.0
94,4,23,16.8,1,0.0,0.0
95,4,24,16.1,1,0.0,0.0
96,5,1,16.6,1,0.0,0.0
97,5,2,16.6,1,0.0,0.0
98,5,3,15.5,1,0.0,0.0
99,5,4,15.7,1,0.0,0.0
100,5,5,15.5,1,0.0,0.0
101,5,6,15.9,1,0.0,0.0
102,5,7,15.4,1,0.0,0.02
103,5,8,16.4,1,0.0,0.48
104,5,9,18.5,1,0.0,1.26
105,5,10,20.5,1,0.0,1.99
106,5,11,22.8,1,0.0,2.49
107,5,12,23.4,1,0.0,2.76
108,5,13,22.9,1,0.0,2.56
109,5,14,22.3,1,0.0,1.22
110,5,15,22.2,1,0.0,0.75
111,5,16,21.8,1,0.0,0.34
112,5,17,21.4,1,0.0,0.14
113,5,18,20.1,1,0.0,0.01
114,5,19,19.2,1,0.0,0.0
115,5,20,19.1,1,0.0,0.0
116,5,21,17.8,1,0.0,0.0
117,5,22,17.4,1,0.0,0.0
118,5,23,16.6,1,0.0,0.0
119,5,24,16.8,1,0.0,0.0
120,6,1,16.9,1,0.0,0.0
121,6,2,16.7,1,0.0,0.0
122,6,3,16.2,1,0.0,0.0
